F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F19,Classe
0,30,20,6,3,23,2.5,1.6666666666666667,2,0,12,3,12,12,18,0.9709505941661296,18,Humana
0,31,19,4,1,36,1.7222222222222223,1.0,3,0,28,3,18,19,16,0.9580420219377606,13,Humana
1,21,29,3,6,26,1.6153846153846154,2.0714285714285716,2,3,17,3,13,14,18,0.9814538947451146,8,Humana
0,28,22,4,5,24,2.1538461538461537,1.8333333333333333,2,1,14,1,13,12,18,0.9895875209335165,15,Humana
0,26,24,5,5,26,1.8571428571428572,1.8461538461538463,1,1,16,0,14,13,18,0.9988455357066628,12,Aleatória
1,24,26,4,4,27,1.7142857142857142,1.8571428571428572,1,0,15,0,14,14,18,0.9988455357066628,10,Aleatória
0,27,23,3,3,32,1.588235294117647,1.4375,1,0,20,0,17,16,16,0.9953784385316868,10,Humana
0,30,20,8,4,21,2.727272727272727,1.8181818181818181,1,0,11,4,11,11,17,0.9709505941661296,19,Aleatória
0,32,18,6,3,28,2.1333333333333333,1.2857142857142858,0,0,16,3,15,14,17,0.9426831889669534,17,Aleatória
1,23,27,4,3,27,1.6428571428571428,1.9285714285714286,1,0,14,1,14,14,18,0.9953784385316868,9,Humana
1,22,28,3,5,29,1.4666666666666666,1.8666666666666667,3,2,18,2,15,15,17,0.9895875209335165,7,Aleatória
1,23,27,5,4,25,1.7692307692307692,2.076923076923077,1,0,13,1,13,13,17,0.9953784385316868,10,Humana
1,24,26,4,7,20,2.1818181818181817,2.6,0,2,11,3,11,10,18,0.9988455357066628,13,Aleatória
1,24,26,3,4,30,1.6,1.625,2,0,18,1,15,16,18,0.9988455357066628,9,Aleatória
1,21,29,4,5,22,1.9090909090909092,2.4166666666666665,1,2,10,1,11,12,17,0.9814538947451146,10,Humana
0,27,23,4,4,26,2.076923076923077,1.6428571428571428,1,0,15,0,13,14,18,0.9953784385316868,14,Aleatória
1,17,33,5,8,19,1.7,3.3,0,2,9,3,10,10,17,0.924818704684491,7,Aleatória
-1,25,25,4,7,29,1.6666666666666667,1.6666666666666667,1,1,18,3,15,15,18,0.9999999997114609,10,Aleatória
0,28,22,5,3,34,1.5555555555555556,1.2941176470588236,4,0,25,2,18,17,17,0.9895875209335165,10,Humana
0,28,22,5,3,34,1.5555555555555556,1.2941176470588236,3,0,25,2,18,17,16,0.9895875209335165,10,Humana
0,28,22,4,2,41,1.3333333333333333,1.0476190476190477,4,0,36,2,21,21,15,0.9895875209335165,7,Humana
0,26,24,6,5,28,1.7333333333333334,1.7142857142857142,3,2,20,1,15,14,18,0.9988455357066628,11,Humana
0,27,23,6,5,28,1.9285714285714286,1.5333333333333334,2,1,18,1,14,15,17,0.9953784385316868,13,Humana
0,29,21,6,4,20,2.6363636363636362,2.1,2,0,10,2,11,10,17,0.9814538947451146,18,Aleatória
0,28,22,4,3,33,1.6470588235294117,1.2941176470588236,4,0,26,1,17,17,17,0.9895875209335165,11,Humana
-1,25,25,3,3,28,1.6666666666666667,1.7857142857142858,0,0,13,0,15,14,18,0.9999999997114609,10,Aleatória
1,23,27,6,7,24,1.7692307692307692,2.25,1,2,15,1,13,12,18,0.9953784385316868,10,Humana
0,37,13,3,1,25,2.8461538461538463,1.0,0,0,13,2,13,13,15,0.8267463722040789,24,Humana
0,34,16,6,1,32,2.0,1.0,3,0,26,5,17,16,17,0.9043814574359548,17,Humana
0,27,23,6,4,19,2.7,2.3,0,0,5,2,10,10,17,0.9953784385316868,17,Aleatória
1,17,33,4,6,21,1.5454545454545454,3.0,0,4,10,2,11,11,17,0.924818704684491,6,Humana
0,27,23,6,5,25,2.076923076923077,1.7692307692307692,1,1,13,1,13,13,18,0.9953784385316868,14,Aleatória
1,21,29,5,4,29,1.4,1.9333333333333333,4,0,21,1,15,15,17,0.9814538947451146,6,Aleatória
1,18,32,2,4,24,1.3846153846153846,2.6666666666666665,0,0,8,2,13,12,17,0.9426831889669534,5,Aleatória
0,28,22,6,5,9,5.6,4.4,0,3,0,1,5,5,17,0.9895875209335165,23,Humana
0,29,21,5,4,23,2.4166666666666665,1.75,0,0,10,1,12,12,18,0.9814538947451146,17,Aleatória
1,24,26,6,3,34,1.411764705882353,1.4444444444444444,5,0,27,3,17,18,17,0.9988455357066628,7,Humana
0,27,23,4,3,30,1.8,1.4375,2,0,18,1,15,16,18,0.9953784385316868,12,Aleatória
1,24,26,4,5,28,1.6,1.8571428571428572,3,1,20,1,15,14,18,0.9988455357066628,9,Humana
-1,25,25,4,7,37,1.3157894736842106,1.3157894736842106,6,1,35,3,19,19,17,0.9999999997114609,6,Humana
0,26,24,3,5,28,1.8571428571428572,1.6,0,1,15,2,14,15,18,0.9988455357066628,12,Humana
0,30,20,3,3,36,1.5789473684210527,1.1111111111111112,3,0,27,0,19,18,17,0.9709505941661296,11,Aleatória
0,26,24,7,4,25,2.0,1.8461538461538463,2,0,13,3,13,13,18,0.9988455357066628,13,Aleatória
1,22,28,5,11,16,2.75,3.111111111111111,0,2,5,6,8,9,17,0.9895875209335165,14,Aleatória
0,32,18,5,2,32,1.8823529411764706,1.125,2,0,23,3,17,16,17,0.9426831889669534,15,Humana
0,35,15,7,2,20,3.5,1.3636363636363635,0,0,8,5,10,11,17,0.8812908989421536,25,Aleatória
1,24,26,3,4,34,1.411764705882353,1.4444444444444444,3,0,25,1,17,18,17,0.9988455357066628,7,Humana
0,28,22,7,3,24,2.1538461538461537,1.8333333333333333,1,0,7,4,13,12,18,0.9895875209335165,15,Humana
0,26,24,6,5,25,2.0,1.8461538461538463,1,1,14,1,13,13,17,0.9988455357066628,13,Aleatória
1,24,26,5,6,16,2.6666666666666665,3.25,0,2,1,1,9,8,17,0.9988455357066628,15,Aleatória
1,22,28,3,8,36,1.1578947368421053,1.5555555555555556,5,1,31,5,19,18,16,0.9895875209335165,3,Humana
1,21,29,4,5,31,1.3125,1.8125,3,1,23,1,16,16,17,0.9814538947451146,5,Aleatória
-1,25,25,8,7,17,2.7777777777777777,2.7777777777777777,0,2,7,1,9,9,17,0.9999999997114609,16,Aleatória
1,22,28,4,6,23,1.8333333333333333,2.3333333333333335,0,1,8,2,12,12,17,0.9895875209335165,10,Aleatória
1,21,29,6,8,22,1.9090909090909092,2.4166666666666665,1,1,11,2,11,12,17,0.9814538947451146,10,Aleatória
0,29,21,4,4,28,1.9333333333333333,1.5,2,0,18,0,15,14,18,0.9814538947451146,14,Humana
0,26,24,2,4,38,1.3,1.263157894736842,4,0,30,2,20,19,17,0.9988455357066628,6,Humana
1,20,30,4,10,22,1.6666666666666667,2.727272727272727,2,2,13,6,12,11,17,0.9709505941661296,8,Aleatória
1,23,27,6,8,19,2.3,2.7,0,2,5,2,10,10,17,0.9953784385316868,13,Aleatória
0,26,24,5,5,19,2.6,2.4,0,2,6,0,10,10,17,0.9988455357066628,16,Humana
-1,25,25,4,4,30,1.6666666666666667,1.5625,5,0,23,0,15,16,18,0.9999999997114609,10,Humana
0,26,24,5,4,24,2.0,2.0,3,0,15,1,13,12,18,0.9988455357066628,13,Humana
-1,25,25,5,4,27,1.7857142857142858,1.7857142857142858,2,0,17,1,14,14,18,0.9999999997114609,11,Aleatória
-1,25,25,6,4,29,1.6666666666666667,1.6666666666666667,3,0,19,2,15,15,18,0.9999999997114609,10,Aleatória
0,29,21,7,4,26,2.0714285714285716,1.6153846153846154,2,0,15,3,14,13,17,0.9814538947451146,15,Humana
1,23,27,5,8,26,1.7692307692307692,1.9285714285714286,3,1,16,3,13,14,18,0.9953784385316868,10,Aleatória
0,27,23,3,2,38,1.35,1.2105263157894737,3,0,29,1,20,19,17,0.9953784385316868,7,Humana
1,19,31,3,10,24,1.5833333333333333,2.3846153846153846,1,3,16,7,12,13,17,0.9580420219377606,7,Aleatória
1,21,29,4,6,29,1.4,1.9333333333333333,4,1,20,2,15,15,17,0.9814538947451146,6,Aleatória
0,28,22,9,3,25,2.1538461538461537,1.6923076923076923,2,0,14,6,13,13,18,0.9895875209335165,15,Aleatória
1,21,29,5,8,22,1.75,2.6363636363636362,1,1,11,3,12,11,17,0.9814538947451146,9,Aleatória
0,27,23,2,3,32,1.588235294117647,1.4375,0,0,17,1,17,16,17,0.9953784385316868,10,Humana
1,20,30,5,6,25,1.5384615384615385,2.3076923076923075,2,1,16,1,13,13,18,0.9709505941661296,7,Aleatória
1,24,26,2,3,35,1.3333333333333333,1.4444444444444444,5,0,24,1,18,18,18,0.9988455357066628,6,Aleatória
1,24,26,4,7,26,1.7142857142857142,2.0,2,1,14,3,14,13,18,0.9988455357066628,10,Aleatória
1,24,26,1,2,46,1.0,1.1304347826086956,6,0,44,1,24,23,15,0.9988455357066628,0,Humana
0,30,20,5,2,27,2.142857142857143,1.4285714285714286,0,0,12,3,14,14,17,0.9709505941661296,16,Aleatória
0,35,15,6,4,22,2.9166666666666665,1.3636363636363635,1,0,12,2,12,11,17,0.8812908989421536,23,Humana
1,21,29,4,6,22,1.9090909090909092,2.4166666666666665,0,2,12,2,11,12,18,0.9814538947451146,10,Aleatória
1,21,29,3,6,25,1.6153846153846154,2.230769230769231,1,2,12,3,13,13,18,0.9814538947451146,8,Aleatória
1,24,26,3,4,32,1.5,1.5294117647058822,3,0,22,1,16,17,17,0.9988455357066628,8,Aleatória
0,28,22,5,5,28,1.8666666666666667,1.5714285714285714,1,1,18,0,15,14,18,0.9895875209335165,13,Humana
1,24,26,6,5,23,2.0,2.1666666666666665,0,1,14,1,12,12,18,0.9988455357066628,12,Aleatória
1,22,28,2,6,31,1.375,1.75,2,1,21,4,16,16,15,0.9895875209335165,6,Humana
0,26,24,3,3,42,1.2380952380952381,1.0909090909090908,6,0,38,0,21,22,15,0.9988455357066628,5,Humana
0,26,24,4,4,28,1.7333333333333334,1.7142857142857142,0,0,15,0,15,14,18,0.9988455357066628,11,Aleatória
0,30,20,9,5,22,2.727272727272727,1.6666666666666667,0,1,10,4,11,12,17,0.9709505941661296,19,Aleatória
0,49,1,49,1,1,49.0,1.0,0,0,1,48,1,1,10,0.14144054225328165,48,Humana
1,22,28,3,4,31,1.375,1.75,2,0,19,1,16,16,17,0.9895875209335165,6,Humana
0,29,21,6,6,22,2.6363636363636362,1.75,0,1,12,0,11,12,18,0.9814538947451146,18,Aleatória
0,26,24,6,4,25,2.0,1.8461538461538463,1,0,13,2,13,13,18,0.9988455357066628,13,Aleatória
1,24,26,24,25,2,24.0,13.0,0,5,1,1,1,2,14,0.9988455357066628,23,Humana
0,27,23,14,7,17,3.0,2.5555555555555554,0,2,9,7,9,9,18,0.9953784385316868,18,Aleatória
1,24,26,5,5,37,1.263157894736842,1.368421052631579,6,1,34,0,19,19,17,0.9988455357066628,5,Humana
0,26,24,5,6,34,1.4444444444444444,1.411764705882353,5,1,29,1,18,17,17,0.9988455357066628,8,Humana
0,29,21,5,2,30,1.9333333333333333,1.3125,2,0,20,3,15,16,18,0.9814538947451146,14,Aleatória
0,26,24,5,5,25,2.0,1.8461538461538463,1,1,12,0,13,13,18,0.9988455357066628,13,Aleatória
0,29,21,4,4,27,2.0714285714285716,1.5,1,0,15,0,14,14,18,0.9814538947451146,15,Aleatória
1,24,26,4,3,42,1.1428571428571428,1.1818181818181819,7,0,39,1,21,22,16,0.9988455357066628,3,Humana
1,22,28,5,11,17,2.4444444444444446,3.111111111111111,0,2,5,6,9,9,18,0.9895875209335165,13,Aleatória
1,22,28,4,5,25,1.6923076923076923,2.1538461538461537,3,1,14,1,13,13,18,0.9895875209335165,9,Humana
1,17,33,3,8,22,1.5454545454545454,2.75,1,3,12,5,11,12,18,0.924818704684491,6,Humana
0,31,19,7,5,16,3.4444444444444446,2.375,0,2,4,2,9,8,18,0.9580420219377606,22,Humana
-1,25,25,5,6,22,2.0833333333333335,2.272727272727273,1,1,10,1,12,11,18,0.9999999997114609,13,Aleatória
0,27,23,5,5,28,1.8,1.6428571428571428,3,1,20,0,15,14,17,0.9953784385316868,12,Aleatória
1,23,27,3,7,29,1.5333333333333334,1.8,3,1,19,4,15,15,17,0.9953784385316868,8,Aleatória
0,31,19,6,4,20,2.8181818181818183,1.9,1,0,8,2,11,10,18,0.9580420219377606,20,Aleatória
-1,25,25,4,4,27,1.7857142857142858,1.7857142857142858,1,0,14,0,14,14,18,0.9999999997114609,11,Aleatória
1,23,27,4,5,24,1.9166666666666667,2.076923076923077,0,1,10,1,12,13,18,0.9953784385316868,11,Humana
1,23,27,4,4,24,1.9166666666666667,2.076923076923077,0,0,9,0,12,13,17,0.9953784385316868,11,Aleatória
-1,25,25,4,6,24,2.0833333333333335,1.9230769230769231,0,1,14,2,12,13,17,0.9999999997114609,13,Aleatória
0,26,24,3,3,28,1.8571428571428572,1.6,1,0,13,0,14,15,18,0.9988455357066628,12,Humana
0,26,24,8,5,26,1.8571428571428572,1.8461538461538463,3,1,18,3,14,13,18,0.9988455357066628,12,Aleatória
1,22,28,3,5,27,1.5714285714285714,2.0,2,1,15,2,14,14,17,0.9895875209335165,8,Aleatória
1,22,28,3,6,31,1.375,1.75,3,1,20,3,16,16,18,0.9895875209335165,6,Aleatória
0,28,22,9,3,32,1.6470588235294117,1.375,3,0,24,6,17,16,18,0.9895875209335165,11,Aleatória
-1,25,25,8,4,31,1.5625,1.5625,4,0,26,4,16,16,18,0.9999999997114609,9,Humana
1,24,26,4,3,31,1.5,1.625,4,0,20,1,16,16,18,0.9988455357066628,8,Humana
0,27,23,6,5,21,2.4545454545454546,2.090909090909091,0,1,11,1,11,11,18,0.9953784385316868,16,Aleatória
-1,25,25,10,7,22,2.0833333333333335,2.272727272727273,2,1,12,3,12,11,18,0.9999999997114609,13,Aleatória
0,28,22,5,3,25,2.1538461538461537,1.6923076923076923,1,0,11,2,13,13,18,0.9895875209335165,15,Aleatória
1,22,28,3,7,26,1.6923076923076923,2.0,2,1,15,4,13,14,18,0.9895875209335165,9,Aleatória
0,27,23,5,4,25,2.076923076923077,1.7692307692307692,2,0,17,1,13,13,18,0.9953784385316868,14,Humana
